141,SP-2476,Solar Panel 2476,,,2011-02-14 00:00:00,2.34,,,,,,,,145,45,OPERATIONAL,0101000020E6100000A4703D0AD7A3F4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
142,SP-2477,Solar Panel 2477,,,2011-02-14 00:00:00,1.8,,,,,,,,145,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
143,SP-2478,Solar Panel 2478,,,2011-02-14 00:00:00,1.8,,,,,,,,217,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
144,SP-2479,Solar Panel 2479,,,2011-02-14 00:00:00,2.52,,,,,,,,217,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
145,SP-2480,Solar Panel 2480,,,2011-02-23 00:00:00,3.6,,,,,,,,145,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
146,SP-2481,Solar Panel 2481,,,2011-03-01 00:00:00,2.52,,,,,,,,145,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
147,SP-2482,Solar Panel 2482,,,2011-02-21 00:00:00,3.6,,,,,,,,217,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
148,SP-2483,Solar Panel 2483,,,2011-03-01 00:00:00,2.88,,,,,,,,217,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
149,SP-2484,Solar Panel 2484,,,2011-03-03 00:00:00,2.7,,,,,,,,217,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
150,SP-2485,Solar Panel 2485,,,2011-02-21 00:00:00,1.8,,,,,,,,185,40,OPERATIONAL,0101000020E6100000B81E85EB51B804C014AE47E17AB44A40,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
151,SP-2486,Solar Panel 2486,,,2011-02-21 00:00:00,1.8,,,,,,,,185,40,OPERATIONAL,0101000020E6100000B81E85EB51B804C014AE47E17AB44A40,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
152,SP-2487,Solar Panel 2487,,,2011-02-21 00:00:00,1.98,,,,,,,,145,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
153,SP-2488,Solar Panel 2488,,,2011-03-01 00:00:00,3.78,,,,,,,,145,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
154,SP-2489,Solar Panel 2489,,,2011-03-02 00:00:00,2.88,,,,,,,,217,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
155,SP-2490,Solar Panel 2490,,,2011-03-30 00:00:00,3.6,,,,,,,,145,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
156,SP-2491,Solar Panel 2491,,,2011-03-30 00:00:00,3.6,,,,,,,,145,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
157,SP-2492,Solar Panel 2492,,,2011-03-01 00:00:00,2.7,,,,,,,,217,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
158,SP-2493,Solar Panel 2493,,,2011-03-04 00:00:00,3.33,,,,,,,,180,45,OPERATIONAL,0101000020E61000005C8FC2F5285CF7BF7B14AE47E1BA4A40,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
159,SP-2494,Solar Panel 2494,,,2011-03-10 00:00:00,3.84,,,,,,,,180,35,OPERATIONAL,0101000020E6100000AE47E17A14AEF7BF5C8FC2F528BC4A40,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
160,SP-2495,Solar Panel 2495,,,2011-03-11 00:00:00,3.29,,,,,,,,180,30,OPERATIONAL,0101000020E6100000E17A14AE47E1F6BFB81E85EB51D84940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
161,SP-2496,Solar Panel 2496,,,2011-03-11 00:00:00,3.29,,,,,,,,180,30,OPERATIONAL,0101000020E6100000E17A14AE47E1F6BFB81E85EB51D84940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
162,SP-2497,Solar Panel 2497,,,2011-03-11 00:00:00,2.35,,,,,,,,135,30,OPERATIONAL,0101000020E6100000295C8FC2F528F4BF0AD7A3703DCA4940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
163,SP-2498,Solar Panel 2498,,,2011-03-11 00:00:00,2.35,,,,,,,,135,30,OPERATIONAL,0101000020E6100000295C8FC2F528F4BF0AD7A3703DCA4940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
164,SP-2499,Solar Panel 2499,,,2011-03-11 00:00:00,2.35,,,,,,,,135,30,OPERATIONAL,0101000020E6100000295C8FC2F528F4BF0AD7A3703DCA4940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
165,SP-2500,Solar Panel 2500,,,2011-03-18 00:00:00,3.96,,,,,,,,180,40,OPERATIONAL,0101000020E610000014AE47E17A1404C01F85EB51B87E4A40,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
166,SP-2501,Solar Panel 2501,,,2011-01-21 00:00:00,1.44,,,,,,,,215,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
